index,xp,yp,xt,yt,xm,ym
0,-25.367572018748067,-13.67378737182617,0.3141062,-2.6820223,44.61524394082832,-6.626031778162202
1,-37.41475461910043,18.98494213773837,-8.087139,-9.257592,7.0761236835319705,-48.99148905749953
2,-22.114292406109282,-22.463171417246386,-2.4698312,-0.19213662,32.98303346400477,-3.6621002451894795
3,-10.960335885198253,-13.463678060181424,-2.6746457,-0.023971759,11.525559839857479,-1.2090721254838521
4,-28.01480941529236,8.174002820123293,-7.7004304,-5.0502067,18.71594866872243,-27.998669036959143
5,-39.60206422392993,23.339593374540673,-11.411413,-4.5982227,22.458300752201467,-51.16168000629139
6,-25.618382209247827,4.2452970093723055,-5.3894825,-3.8659673,8.054488703550446,-24.7573874254752
7,-46.4773367325637,5.518099464172283,-7.413436,-6.6325574,13.789122704841688,-48.56945351765876
8,-22.990654417298174,13.883838047355706,-4.2083893,-9.224042,-3.414887023230927,-30.141155209975658
9,-35.52926157710494,-1.031121302541387,-11.491878,-1.0805124,55.368030192539145,-20.5563914514159
10,-40.729554665606486,-0.16643206528477328,-10.652682,-2.875917,36.74478099060242,-33.420462495495805
11,-49.177701766148175,32.49599625989783,-9.416877,-10.268149,6.5268609754887565,-66.43921731446666
12,-25.84377201016721,8.556891414771865,-9.634797,-4.361433,17.384644174154317,-26.082852570357478
13,-25.783910928097924,4.998935503456053,-8.691681,-2.7128747,25.678444967373647,-21.54790260083789
14,-21.544806699205743,-2.6715951793529418,-4.172344,-2.5342827,-8.878891695178611,-24.75141443994298
15,-31.123942947817422,12.742049127447522,-6.831964,-9.304556,-5.457445680309441,-40.65588893383438
16,-20.36382669189413,-18.686755643537435,-2.1301234,-2.4336393,32.490580860632086,-5.355573156419951
17,-40.019566697874545,24.029861420995815,-11.079116,-6.3722205,28.98930563385529,-50.02201480067518
18,-39.344961906005906,18.608128203474347,-9.139267,-7.002348,12.270290106014446,-44.81759037532089
19,-40.098125600812274,12.632518653411353,-8.065836,-7.09898,11.26027138183177,-43.6329848788799
20,-30.187375738108063,16.08419059232544,-12.229018,-5.6893616,10.009839664365341,-37.180914624695696
21,-26.945842694756212,1.5915328863251998,-8.940133,-3.565221,21.678004051405235,-22.756591512978243
22,-7.462815541591512,-10.837689684804985,0.9549154,-1.7613078,16.277075960592487,3.457938379736214
23,-41.1500898868223,8.181773582278227,-7.5533295,-6.3757997,14.681904340487428,-41.65072276289742
24,-46.00991381700378,19.713439923458647,-8.910206,-8.026914,15.493667283873988,-56.178837424328385
25,-30.700389178780725,5.768009208148833,-6.0016623,-4.169525,7.374545283796923,-32.858444626972585
26,-60.81815509033103,31.613388371239683,-9.420481,-10.599209,15.257054728065164,-75.34725213387367
27,-25.31670667272115,6.3253692116803135,-6.268363,-5.3466067,0.14457021974679438,-29.235400435678333
28,-37.103773755175716,15.141965174420978,-7.6649165,-7.583742,-0.21656322299040418,-48.895464517887206
29,-22.162191875419023,-17.634145862073527,-1.6948484,-3.0231428,28.33363515193164,-8.389638538683172
30,-20.606320577626597,3.036336773686145,-5.61445,-2.7042074,12.265153594669329,-17.927206688212337
31,-29.506569392939625,4.761589306515371,-6.7469025,-1.9781313,34.40081261342316,-23.57282964944139
32,-33.62846714971901,15.996007163320105,-9.561576,-5.987849,21.507471691282124,-37.91348859226006
33,-35.49386737312973,14.570781807114747,-10.35185,-5.8154206,17.912740967921057,-40.443845752602634
34,-24.76731070510696,-4.895534519940746,-2.0268795,-3.9351215,40.34577146447931,-13.889912207805551
35,-41.47871398607088,24.806840745921154,-8.2943945,-9.563966,9.632484087905786,-58.821317790477735
36,-36.77021859400631,24.659493385692567,-8.805145,1.3054706,-1.2325077776832916,-50.76343526056012
37,-46.751427324441025,31.968049774408595,-9.939788,-9.352363,-1.4704951669212372,-64.60695003123335
38,-25.046270166140594,-0.3551280112557015,-4.707343,-2.2040796,3.909324932720745,-25.619128697424028
39,-30.932768304307697,3.831199483494322,-4.297185,-7.550587,0.6398983075389747,-34.83052629373097
40,-48.8672157210087,20.834521507182927,-14.215606,-5.114093,38.29970744538515,-52.23995936249585
41,-34.50069753265697,9.716965827746678,-7.2656965,-5.663818,12.368447155706374,-37.91286619608537
42,-27.46505590174599,7.375987311174657,-5.634644,-3.289911,2.2463549666091795,-32.32544949649032
